Código.IBGE,municipio,Diretoria.Regional,Mesorregião,n_alunos_beneficiarios_atualmente,n_familias_beneficiarias_atualmente,n_alunos_receberam_lista_atual,n_alunos_receberam_incluindo_bloqueados,n_familias_receberam_lista_atual,n_familias_receberam_incluindo_bloqueados,n_familias_atuais_receberam_parcialmente,n_alunos_atuais_receberam_parcialmente,n_familias_atuais_receberam_tudo,n_alunos_atuais_receberam_tudo,n_familias_atuais_receberam_a_mais,n_alunos_atuais_receberam_a_mais,perc_alunos_receberam_lista_atual,perc_familias_receberam_lista_atual,total_dinheiro_lista_atual,total_dinheiro
3109105,BUENO BRANDAO,Poços de Caldas,Sul/Sudoeste de Minas,56,37,14,14,7,7,0,0,7,14,0,0,0.25,0.1891891891891892,1400,1400
3109204,BUENOPOLIS,Curvelo,Central Mineira,95,70,34,34,25,25,0,0,25,34,0,0,0.35789473684210527,0.35714285714285715,3400,3400
3109253,BUGRE,Timóteo,Vale do Rio Doce,46,32,5,5,5,5,0,0,5,5,0,0,0.10869565217391304,0.15625,500,500
3109303,BURITIS,Paracatu,Noroeste de Minas,116,101,33,33,26,26,0,0,26,33,0,0,0.28448275862068967,0.25742574257425743,3300,3300
3109402,BURITIZEIRO,Montes Claros,Norte de Minas,117,72,57,57,30,30,1,4,29,53,0,0,0.48717948717948717,0.4166666666666667,5600,5600
3109451,CABECEIRA GRANDE,Paracatu,Noroeste de Minas,17,17,1,1,1,1,0,0,1,1,0,0,0.058823529411764705,0.058823529411764705,100,100
3109501,CABO VERDE,Poços de Caldas,Sul/Sudoeste de Minas,120,85,55,55,38,38,0,0,38,55,0,0,0.4583333333333333,0.4470588235294118,5500,5500
3109600,CACHOEIRA DA PRATA,Metropolitana,Metropolitana de Belo Horizonte,8,8,2,2,2,2,0,0,2,2,0,0,0.25,0.25,200,200
3109709,CACHOEIRA DE MINAS,Poços de Caldas,Sul/Sudoeste de Minas,78,58,45,45,34,34,0,0,34,45,0,0,0.5769230769230769,0.5862068965517241,4500,4500
3109808,CACHOEIRA DOURADA,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109907,CAETANOPOLIS,Curvelo,Metropolitana de Belo Horizonte,68,49,36,36,26,26,0,0,26,36,0,0,0.5294117647058824,0.5306122448979592,3600,3600
3110004,CAETE,Metropolitana,Metropolitana de Belo Horizonte,319,216,79,79,54,54,0,0,54,79,0,0,0.2476489028213166,0.25,7900,7900
3110103,CAIANA,Muriaé,Zona da Mata,81,65,6,6,5,5,0,0,5,6,0,0,0.07407407407407407,0.07692307692307693,600,600
3110202,CAJURI,Muriaé,Zona da Mata,2,2,1,1,1,1,0,0,1,1,0,0,0.5,0.5,100,100
3110301,CALDAS,Poços de Caldas,Sul/Sudoeste de Minas,63,47,2,2,2,2,0,0,2,2,0,0,0.031746031746031744,0.0425531914893617,200,200
3110400,CAMACHO,Divinópolis,Oeste de Minas,31,26,1,1,1,1,0,0,1,1,0,0,0.03225806451612903,0.038461538461538464,100,100
3110509,CAMANDUCAIA,Poços de Caldas,Sul/Sudoeste de Minas,77,62,11,11,7,7,0,0,7,11,0,0,0.14285714285714285,0.11290322580645161,1100,1100
3110608,CAMBUI,Poços de Caldas,Sul/Sudoeste de Minas,114,78,17,17,10,10,0,0,10,17,0,0,0.14912280701754385,0.1282051282051282,1700,1700
3110707,CAMBUQUIRA,Varginha,Sul/Sudoeste de Minas,96,63,24,24,16,16,0,0,16,24,0,0,0.25,0.25396825396825395,2400,2400
3110806,CAMPANARIO,Teófilo Otoni,Vale do Rio Doce,18,11,5,5,3,3,0,0,3,5,0,0,0.2777777777777778,0.2727272727272727,500,500
3110905,CAMPANHA,Varginha,Sul/Sudoeste de Minas,227,145,65,65,36,36,0,0,36,65,0,0,0.28634361233480177,0.2482758620689655,6500,6500
3111002,CAMPESTRE,Poços de Caldas,Sul/Sudoeste de Minas,86,61,2,2,2,2,0,0,2,2,0,0,0.023255813953488372,0.03278688524590164,200,200
3111101,CAMPINA VERDE,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,104,81,14,14,13,13,0,0,13,14,0,0,0.1346153846153846,0.16049382716049382,1400,1400
3111150,CAMPO AZUL,Montes Claros,Norte de Minas,25,15,19,19,10,10,0,0,10,19,0,0,0.76,0.6666666666666666,1900,1900
3111200,CAMPO BELO,Divinópolis,Oeste de Minas,337,258,67,67,49,49,0,0,49,67,0,0,0.19881305637982197,0.18992248062015504,6700,6700
3111309,CAMPO DO MEIO,Varginha,Sul/Sudoeste de Minas,56,38,5,5,3,3,0,0,3,5,0,0,0.08928571428571429,0.07894736842105263,500,500
3111408,CAMPO FLORIDO,Uberaba,Triângulo Mineiro/Alto Paranaíba,25,18,11,11,7,7,0,0,7,11,0,0,0.44,0.3888888888888889,1100,1100
3111507,CAMPOS ALTOS,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,67,48,15,15,8,8,0,0,8,15,0,0,0.22388059701492538,0.16666666666666666,1500,1500
3111606,CAMPOS GERAIS,Varginha,Sul/Sudoeste de Minas,350,220,89,89,52,52,0,0,52,89,0,0,0.2542857142857143,0.23636363636363636,8900,8900
3111705,CANAA,Muriaé,Zona da Mata,11,10,3,3,3,3,0,0,3,3,0,0,0.2727272727272727,0.3,300,300
3111804,CANAPOLIS,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,50,38,5,5,5,5,0,0,5,5,0,0,0.1,0.13157894736842105,500,500
3111903,CANA VERDE,Divinópolis,Oeste de Minas,63,48,9,9,7,7,0,0,7,9,0,0,0.14285714285714285,0.14583333333333334,900,900
3112000,CANDEIAS,Divinópolis,Oeste de Minas,128,103,49,49,41,41,0,0,41,49,0,0,0.3828125,0.39805825242718446,4900,4900
3112059,CANTAGALO,Governador Valadares,Vale do Rio Doce,37,21,15,15,8,8,0,0,8,15,0,0,0.40540540540540543,0.38095238095238093,1500,1500
3112109,CAPARAO,Muriaé,Zona da Mata,29,24,4,4,3,3,0,0,3,4,0,0,0.13793103448275862,0.125,400,400
3112208,CAPELA NOVA,São João Del Rei,Campo das Vertentes,31,20,9,9,6,6,0,0,6,9,0,0,0.2903225806451613,0.3,900,900
3112307,CAPELINHA,Diamantina,Jequitinhonha,624,396,428,428,260,260,0,0,260,428,0,0,0.6858974358974359,0.6565656565656566,42800,42800
3112406,CAPETINGA,Passos,Sul/Sudoeste de Minas,63,42,22,22,13,13,0,0,13,22,0,0,0.3492063492063492,0.30952380952380953,2200,2200
3112505,CAPIM BRANCO,Metropolitana,Metropolitana de Belo Horizonte,59,37,19,19,11,11,0,0,11,19,0,0,0.3220338983050847,0.2972972972972973,1900,1900
3112604,CAPINOPOLIS,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,127,84,88,88,57,57,0,0,57,88,0,0,0.6929133858267716,0.6785714285714286,8800,8800
3112653,CAPITAO ANDRADE,Governador Valadares,Vale do Rio Doce,19,12,6,6,4,4,0,0,4,6,0,0,0.3157894736842105,0.3333333333333333,600,600
3112703,CAPITAO ENEAS,Montes Claros,Norte de Minas,142,73,78,78,35,35,0,0,35,78,0,0,0.5492957746478874,0.4794520547945205,7800,7800
3112802,CAPITOLIO,Passos,Sul/Sudoeste de Minas,54,39,6,6,4,4,0,0,4,6,0,0,0.1111111111111111,0.10256410256410256,600,600
3112901,CAPUTIRA,Muriaé,Zona da Mata,82,49,11,11,6,6,0,0,6,11,0,0,0.13414634146341464,0.12244897959183673,1100,1100
3113008,CARAI,Teófilo Otoni,Jequitinhonha,182,92,47,47,22,22,0,0,22,47,0,0,0.25824175824175827,0.2391304347826087,4700,4700
3113107,CARANAIBA,São João Del Rei,Campo das Vertentes,15,11,4,4,3,3,0,0,3,4,0,0,0.26666666666666666,0.2727272727272727,400,400
3113206,CARANDAI,São João Del Rei,Campo das Vertentes,122,90,62,62,43,43,0,0,43,62,0,0,0.5081967213114754,0.4777777777777778,6200,6200
3113305,CARANGOLA,Muriaé,Zona da Mata,232,144,53,53,29,29,0,0,29,53,0,0,0.22844827586206898,0.2013888888888889,5300,5300
3113404,CARATINGA,Timóteo,Vale do Rio Doce,1255,871,251,251,161,161,0,0,161,251,0,0,0.2,0.18484500574052812,25100,25100
3113503,CARBONITA,Diamantina,Jequitinhonha,65,38,46,46,27,27,0,0,27,46,0,0,0.7076923076923077,0.7105263157894737,4600,4600
3113602,CAREACU,Varginha,Sul/Sudoeste de Minas,104,78,34,34,21,21,0,0,21,34,0,0,0.3269230769230769,0.2692307692307692,3400,3400
3113701,CARLOS CHAGAS,Teófilo Otoni,Vale do Mucuri,62,44,35,35,24,24,0,0,24,35,0,0,0.5645161290322581,0.5454545454545454,3500,3500
3113800,CARMESIA,Timóteo,Vale do Rio Doce,12,10,3,3,2,2,0,0,2,3,0,0,0.25,0.2,300,300
3113909,CARMO DA CACHOEIRA,Varginha,Sul/Sudoeste de Minas,365,239,41,41,25,25,0,0,25,41,0,0,0.11232876712328767,0.10460251046025104,4100,4100
3114006,CARMO DA MATA,Divinópolis,Oeste de Minas,65,48,11,11,7,7,0,0,7,11,0,0,0.16923076923076924,0.14583333333333334,1100,1100
3114105,CARMO DE MINAS,Varginha,Sul/Sudoeste de Minas,144,94,42,42,24,24,0,0,24,42,0,0,0.2916666666666667,0.2553191489361702,4200,4200
3114204,CARMO DO CAJURU,Divinópolis,Oeste de Minas,81,53,9,9,7,7,0,0,7,9,0,0,0.1111111111111111,0.1320754716981132,900,900
3114303,CARMO DO PARANAIBA,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,187,140,40,40,27,27,0,0,27,40,0,0,0.21390374331550802,0.19285714285714287,4000,4000
3114402,CARMO DO RIO CLARO,Passos,Sul/Sudoeste de Minas,203,150,80,85,55,55,0,0,52,76,3,4,0.39408866995073893,0.36666666666666664,8300,8300
